,DateTime,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
16,2020/1/15 7:00,0.02724748,0.03952901,0.069976,0.108972,0.12821808,0.1143293,0.098563604,0.08803096,0.072849944,0.050617535,0.04114867,0.027972622,0.021490403,0.019994318,0.01635659,0.013051909,0.012826242,0.010979376,0.009462866,0.007010748,0.005648691,0.005000565,0.0036346004,0.0027478952,0.0019137461,0.0024267256
17,2020/1/15 8:00,0.028917389,0.041004814,0.07024561,0.10631352,0.118721455,0.11511035,0.10209592,0.086643174,0.07313534,0.05276222,0.042609766,0.029327331,0.022384068,0.019785719,0.016409475,0.013176788,0.012793494,0.010902852,0.009162161,0.0070205964,0.0056934245,0.004979831,0.0036357555,0.0027623533,0.0019296287,0.0024767867
18,2020/1/15 9:00,0.019173702,0.026863042,0.043203592,0.06918619,0.08789929,0.10150445,0.10146935,0.097869866,0.09319387,0.073885284,0.060315344,0.045313757,0.03598788,0.030453611,0.024318293,0.01886195,0.016624808,0.013401253,0.011093252,0.008103657,0.006077827,0.0049227676,0.003614726,0.0026670895,0.0017633523,0.0022319122
19,2020/1/15 10:00,0.015380389,0.01958701,0.028199127,0.043728203,0.059073012,0.076067716,0.085877694,0.090526894,0.09860375,0.08837398,0.07683412,0.06286355,0.05374966,0.044833817,0.036349144,0.028460732,0.02366842,0.01752052,0.01447397,0.010643929,0.0077171903,0.005863582,0.0042639165,0.0030803564,0.0019024911,0.0023568457
20,2020/1/15 11:00,0.012994161,0.0151765775,0.021239337,0.03110631,0.04226058,0.061055705,0.07611987,0.08365786,0.096960284,0.09544289,0.0865575,0.07633254,0.06703508,0.05338788,0.044150308,0.034999292,0.02747293,0.019322947,0.016172428,0.01214892,0.0085579045,0.0061697485,0.0043968637,0.0031242245,0.0018073581,0.0023505464
21,2020/1/15 12:00,0.01314944,0.014674389,0.01912847,0.026929706,0.036352772,0.05063621,0.06515072,0.073755905,0.09022984,0.092397645,0.08788201,0.08018766,0.07334663,0.06124259,0.051526405,0.041940216,0.03342231,0.023161143,0.019677904,0.014653251,0.010172469,0.0072888355,0.005027036,0.00354163,0.0020101198,0.0025145696
22,2020/1/15 13:00,0.01274254,0.012650403,0.013435977,0.016961526,0.022418728,0.029063534,0.037990823,0.050197773,0.07187412,0.08017802,0.083776325,0.08251282,0.08639506,0.08231333,0.070381396,0.05930368,0.050223917,0.03559148,0.031343162,0.02336493,0.016128896,0.011503075,0.007734693,0.005413285,0.0028796333,0.0036209524
23,2020/1/15 14:00,0.014190834,0.012974723,0.0119437305,0.013371133,0.016877204,0.019669605,0.024861246,0.03667399,0.056722034,0.06277928,0.07263347,0.07663146,0.08715439,0.09327868,0.08108549,0.071049444,0.06343989,0.046929494,0.04227352,0.031749148,0.021941617,0.015774783,0.010383283,0.0072867577,0.0037000065,0.004624824
24,2020/1/15 15:00,0.014517503,0.012644853,0.010079247,0.0100568365,0.011928725,0.012454962,0.015692571,0.025753284,0.043080922,0.04719098,0.05876862,0.068235755,0.083972566,0.100003615,0.088127285,0.080104426,0.07448054,0.058578815,0.056201637,0.042007178,0.029521322,0.021378625,0.014127536,0.010058467,0.0047745025,0.006259169
25,2020/1/15 16:00,0.014560986,0.0124728875,0.009062678,0.008299626,0.009513863,0.008945359,0.011345787,0.019495213,0.03452394,0.036779754,0.047599368,0.060722675,0.07803612,0.09882066,0.09025298,0.0835052,0.08046913,0.06842079,0.068234056,0.05142787,0.036535442,0.026860222,0.017682482,0.01258265,0.0058422843,0.008008016
26,2020/1/15 17:00,0.014845517,0.013232251,0.009211745,0.0076679597,0.00844447,0.006612459,0.00802804,0.014526211,0.026518343,0.02572208,0.0356307,0.04957711,0.0679953,0.09495927,0.08808397,0.08369588,0.08500827,0.08158852,0.08354664,0.06158586,0.045013897,0.033905156,0.02234145,0.015142446,0.0071255034,0.009991074
27,2020/1/15 18:00,0.014861322,0.014216079,0.009990652,0.0078423545,0.008457051,0.005855955,0.0068296175,0.012774235,0.023014508,0.020938216,0.0297094,0.043855302,0.06184828,0.09116106,0.084418945,0.08087009,0.08495103,0.088708736,0.09333935,0.0668523,0.04993508,0.038307313,0.025454303,0.016510932,0.007906533,0.011391413
28,2020/1/15 19:00,0.01641039,0.016665285,0.011534813,0.008813015,0.009212396,0.0060510053,0.007003317,0.013028503,0.022722475,0.019838024,0.027787037,0.041672464,0.05718091,0.08462876,0.08148874,0.077635385,0.08403018,0.09177654,0.09734462,0.06942176,0.051371444,0.040131755,0.026457889,0.01716523,0.008188072,0.012440038
29,2020/1/15 20:00,0.018919582,0.018764887,0.0124201495,0.009340161,0.0095355315,0.006434894,0.007743041,0.014288987,0.024595097,0.021608043,0.029693313,0.042950947,0.056870706,0.079868525,0.08252356,0.07906234,0.08553352,0.09230252,0.09391749,0.06771911,0.048029315,0.0383228,0.023720898,0.01608701,0.007840976,0.0119065475
