"","MAJORS","Other","RAT","RESUS","SDEC","TAF","UTC","Waiting","Admitted","Discharged"
"MAJORS",0,411,1370,528,4386,786,345,125,8318,18391
"Other",51,0,13,10,0,0,38,37,375,379
"RAT",23955,154,0,987,1623,253,3064,1089,259,4068
"RESUS",900,13,84,0,291,11,69,18,1295,709
"SDEC",176,1,55,31,0,4,49,577,4129,5589
"TAF",49,0,8,3,3,0,11,14,1,1079
"UTC",773,170,606,172,820,69,0,444,893,20741
"Waiting",8616,147,33066,1620,2877,44,21094,0,47,13359
