"","MAJORS","Other","RAT","RESUS","SDEC","TAF","UTC","Waiting","Admitted","Discharged"
"MAJORS",0,409,1040,450,2722,612,280,102,7701,14887
"Other",51,0,13,11,0,0,38,31,374,338
"RAT",19067,154,0,801,909,184,2335,1003,251,3572
"RESUS",737,13,76,0,161,7,66,12,1141,617
"SDEC",127,0,28,17,0,3,31,48,2472,2960
"TAF",35,0,7,2,2,0,11,14,1,845
"UTC",610,169,466,159,420,68,0,421,887,15695
"Waiting",7464,110,26485,1363,1408,42,16122,37,45,12424
