"room7","num_pat_mean","num_pat_sd","duration_mean","duration_median","duration_Q25","duration_Q75","duration_sd","num_pat_mean_breach","num_pat_sd_beach","duration_mean_breach","duration_median_breach","duration_Q25_breach","duration_Q75_breach","duration_sd_breach","num_pat_mean_seen4hrs","num_pat_sd_seen4hrs","duration_mean_seen4hrs","duration_median_seen4hrs","duration_Q25_seen4hrs","duration_Q75_seen4hrs","duration_sd_seen4hrs"
"Arrived",353.833333333333,44.6986772892938,0.269363987614871,0.258488107093611,0.188224392278945,0.316899945175439,0.0968307216735831,83.9333333333333,28.0035510258342,0.234842117118742,0.232108968210469,0.1703334818776,0.279739606574446,0.0807448049179373,269.9,34.0476734564435,0.279290226110136,0.265658705443862,0.19829572740113,0.328508744849688,0.104811619727522
"DIAGNOSTICS",3.24,8.95488693395958,0.710523389694042,0.443402777777778,0.0497222222222222,0.914444444444444,0.929275973727425,4.33333333333333,9.26012958872607,0.693429650915283,0.164444444444444,0.0188888888888889,0.903505747126437,1.10634437605703,2,3.4928498393146,0.676718279904554,0.558888888888889,0.0925,0.914444444444444,0.769999649737771
"MAJORS",142.416666666667,20.4957967304474,2.60089348578438,2.54254754578092,2.26269246031746,2.932425160294,0.4587808922949,76.6166666666667,20.8758165711937,3.49421276432554,3.45471409214092,3.08559966470766,4.00668636936806,0.579757953758165,65.8,15.8036683147739,1.53295436957517,1.52468014855515,1.40231219122348,1.64078047423386,0.180993177057492
"Meas post arrival",213.416666666667,32.6809391742455,0.241198683767483,0.20807495374162,0.155792000822717,0.292903453237038,0.130223201655223,47.8,20.2482893188285,0.221759420423262,0.19569087425984,0.141746565113501,0.262275060386473,0.115810143829535,165.616666666667,25.7636530641336,0.242530131104896,0.210901241051976,0.149761082416506,0.283812696197565,0.146834070788663
"Meas pre arrival",2.08163265306122,1.09614351808734,0.98952947845805,0.388888888888889,0.183333333333333,0.683333333333333,2.00137208930615,1.42424242424242,0.613916883131535,1.60524410774411,0.391666666666667,0.0666666666666667,0.983333333333333,3.57501010622814,1.30952380952381,0.517408893269061,0.913161375661376,0.316666666666667,0.133333333333333,0.641666666666667,3.04782991420277
"OTF",2.15555555555556,1.36441055464115,0.4424920781893,0.23875,0.126944444444444,0.536388888888889,0.663593722913728,1.78048780487805,1.06094757462259,0.428627371273713,0.190972222222222,0.111111111111111,0.536388888888889,0.680974942112491,1.26315789473684,0.561951486949016,0.292490253411306,0.188055555555556,0.0530555555555556,0.388518518518518,0.389329278795378
"RAT",218.166666666667,37.6046186609141,0.535959680571875,0.512725137705276,0.471449693209828,0.588461513058575,0.115445221420503,91.65,25.8101445040905,0.614750232903777,0.592964614350703,0.530940419629022,0.659829365079365,0.136054115313223,126.516666666667,27.9578930771032,0.474658048531655,0.459198760063405,0.420220480304719,0.523319694308424,0.0892051073264298
"RESUS",25.1666666666667,4.9340280469776,2.40600170665809,2.37084935897436,2.07462737753147,2.69905934343434,0.51567147384046,13.9333333333333,4.7187568984497,3.07440783250558,3.02886375661376,2.53421833664021,3.61239351851852,0.643508113139833,11.4237288135593,4.39907274645899,1.53290403082019,1.49011904761905,1.29279077322937,1.75075,0.313734795307508
"TAF",6.73333333333333,3.12381050808071,5.2774166906653,4.90098263888889,3.36956845238095,7.28459722222222,2.53331756179906,5.27118644067797,2.97594093189999,6.59501831079833,6.36384259259259,4.1564666005291,8.97229166666667,3.2063016848074,2.325,1.38466880238839,1.32771030092593,1.23538194444444,0.945347222222222,1.6290625,0.682479054631039
"TRIAGE",219.95,47.2269762755948,1.5551738933631,1.56508359366205,1.27688551634769,1.80760925248749,0.366845480344533,37.9333333333333,22.6348064554755,2.08513716850536,2.05808475783476,1.58887369791667,2.46846778549383,0.704907520697964,182.016666666667,34.4410533838919,1.44112928085364,1.39455339628166,1.21309084066598,1.71581059515476,0.341608446675061
"TRIAGE Return",6.62962962962963,4.62273420805813,1.16038329140567,0.990833333333333,0.740277777777778,1.48470486111111,0.662132039311772,2.37837837837838,1.5339011874475,1.71746721721722,1.60361111111111,0.801388888888889,2.57083333333333,1.21104258229394,5.09433962264151,3.91871324516389,1.01336684176818,0.949027777777778,0.688333333333333,1.31416666666667,0.51317473289811
"UTC",92.85,82.235054795921,1.27704900850018,1.32483838383838,0.980610615079365,1.50958626275159,0.348138126191427,21.3666666666667,18.5709511331192,2.136616779692,2.15212191358025,1.72408655591866,2.53481150793651,0.633122160180583,71.4833333333333,67.2917985953124,1.00757454214156,0.989742063492064,0.802895184676435,1.2105619949495,0.27243677422856
"Waiting",1.66666666666667,0.577350269189626,0.0112037037037037,0.00583333333333333,0.00361111111111111,0.0161111111111111,0.0133371908000228,1,NA,0.0263888888888889,0.0263888888888889,0.0263888888888889,0.0263888888888889,NA,2,0,0.00361111111111111,0.00361111111111111,0.0025,0.00472222222222222,0.00314269680527354
"WAITING ROOM",2.16,3.67060394667326,0.178335536062378,0.0897222222222222,0.0361111111111111,0.272888888888889,0.189127068250458,1.18181818181818,0.603022689155527,0.181893939393939,0.0897222222222222,0.025,0.276944444444444,0.212101326027929,2.41176470588235,3.67523508651848,0.165008578431373,0.103981481481481,0.0361111111111111,0.262638888888889,0.170824226599251
