"from","to","edge","weight_mean","weight_lQ","weight_uQ","pct_disc_mean","pct_disc_lQ","pct_disc_uQ","pct_breach_mean","pct_breach_lQ","pct_breach_uQ"
"Waiting","TRIAGE","Waiting~TRIAGE",204.9,172,242.25,0.91611532583285,0.888244773714132,0.944185645272602,0.158923069205898,0.0980848861283644,0.19743859208834
"TRIAGE","Discharged","TRIAGE~Discharged",135.433333333333,104.75,170.75,1,1,1,0.0721396140175557,0.0224136334166898,0.0969199719199719
"Waiting","RAT","Waiting~RAT",99.1666666666667,81.75,112.25,0.677589018884503,0.635318704284222,0.71915751544269,0.411978106188604,0.365396249243799,0.482061177815895
"RAT","MAJORS","RAT~MAJORS",95.3333333333333,90,103.25,0.623738688592958,0.577272727272727,0.663139287098024,0.510860037813726,0.451630434782609,0.581940700808625
"MAJORS","Discharged","MAJORS~Discharged",61.0666666666667,55,67,0.999761904761905,1,1,0.36499360929582,0.266317016317016,0.432451923076923
"UTC","Discharged","UTC~Discharged",57.7166666666667,30,50.25,1,1,1,0.158022574983953,0.0849042709867452,0.215401785714286
"TRIAGE","UTC","TRIAGE~UTC",44.45,15,35.75,0.839970237965456,0.782608695652174,0.911962527023781,0.31199554483397,0.180562531391261,0.448717948717949
"MAJORS","Admitted","MAJORS~Admitted",41.35,36.75,47,0.00100059737156511,0,0,0.69371105775008,0.630371660859466,0.804873772791024
"TRIAGE","RAT","TRIAGE~RAT",33.4333333333333,15.75,49,0.717805106548956,0.652586616041765,0.780701754385965,0.444382450171213,0.347727272727273,0.535361842105263
"RAT","UTC","RAT~UTC",15.25,9.75,18,0.900536634728456,0.85,1,0.178836591661024,0.113235294117647,0.25
"RAT","TRIAGE","RAT~TRIAGE",14.15,9.75,17,0.903342137318418,0.857142857142857,1,0.221847996620285,0.111111111111111,0.3125
"Waiting","RESUS","Waiting~RESUS",11.3333333333333,9,13.25,0.279275140708964,0.181818181818182,0.358455882352941,0.453061776186776,0.333333333333333,0.5875
"Waiting","UTC","Waiting~UTC",10,4,11.5,0.924228230312423,0.875,1,0.0637323017091321,0,0.104054054054054
"RESUS","Admitted","RESUS~Admitted",9.18333333333333,7,11,0,0,0,0.531159303659304,0.416666666666667,0.666666666666667
"RESUS","MAJORS","RESUS~MAJORS",8.93220338983051,7,11,0.360635844160271,0.2,0.44949494949495,0.595218080911002,0.5,0.763888888888889
"RAT","Discharged","RAT~Discharged",8.41666666666667,5,11,1,1,1,0.0159631572131572,0,0
"UTC","Admitted","UTC~Admitted",6.83050847457627,3.5,8,0.00423728813559322,0,0,0.573445799243406,0.363970588235294,0.775
"UTC","TRIAGE","UTC~TRIAGE",5.48780487804878,2,6,0.924489380284156,0.894736842105263,1,0.229891397973387,0,0.333333333333333
"TAF","Discharged","TAF~Discharged",5.3728813559322,4,7,1,1,1,0.751035781544256,0.645833333333333,1
