"room4_new","num_pat_mean","num_pat_sd","duration_mean","duration_sd","num_pat_mean_breach","num_pat_sd_beach","duration_mean_breach","duration_sd_breach","num_pat_mean_seen4hrs","num_pat_sd_seen4hrs","duration_mean_seen4hrs","duration_sd_seen4hrs"
"Admitted",417.9,88.1186988371127,14.6237217930874,3.1750656923371,274.4,71.8730519264372,15.420904995542,4.2746997972442,143.5,48.5831455743482,13.4835487340337,4.26090183822149
"Discharged",802.433333333333,144.286128944018,1.10821868049257,0.192465068926277,176.916666666667,72.2200713137627,2.01496324649838,0.77964364075902,625.516666666667,107.246190982365,0.866693533720062,0.124351376643329
"MAJORS",139.3,23.3341969170296,2.61962969221541,0.463063087947356,75.55,21.6931020825999,3.5228914109853,0.607276551809656,63.75,16.5771181891675,1.54458340945698,0.182767631058921
"OTF",2.04081632653061,1.36868525225045,1.53324338624339,5.56444194647393,1.73170731707317,1.09600160227763,2.37677777777778,8.72811926592239,1.20833333333333,0.508977377704051,0.360929783950617,0.521655514399246
"RAT",214.85,41.5397808110552,0.533846045214333,0.11497920087363,90.65,26.7162268979176,0.615804238403322,0.136222585830047,124.2,29.2063378308806,0.47134007114267,0.0880105800989272
"RESUS",24.5333333333333,5.23180192786667,2.40827897733376,0.498623677617938,13.65,4.82867494193959,3.08447419571262,0.626270191010187,11.0677966101695,4.43288808628253,1.53333147037618,0.314075803524811
"TAF",6.84745762711864,3.05587934927273,5.2228747890005,2.52480991560806,5.37931034482759,2.95479144754543,6.56497871590149,3.22496014435926,2.3,1.34355059641541,1.32070196759259,0.677518309204791
"TRIAGE",224.216666666667,52.9467566480519,1.5538160108337,0.375131567182383,39.2666666666667,23.8653473106906,2.0987259055838,0.742717648917344,184.95,39.1461516172494,1.43546541938438,0.343633153399693
"UTC",92.6833333333333,83.1960094517794,1.27169470868794,0.344830456641051,21.25,19.058006903101,2.1473069708453,0.634666329345735,71.4333333333333,67.7943967152795,1.00572122715573,0.27601366583227
"Waiting",330.116666666667,50.9819149279185,0.402439962561744,0.13895433990679,83.5166666666667,29.4644236306602,0.360408942223737,0.138949342612217,246.6,38.3724830787261,0.413582748905547,0.150687810036914
