"date","room6","daily_num_pat","daily_duration_mean","daily_duration_sd"
2020-07-31,"Arrived",7,0.126468253968254,0.0518831868659307
2020-07-31,"MAJORS",5,5.31072222222222,4.05572510395209
2020-07-31,"RAT",6,0.600231481481481,0.438810872695612
2020-07-31,"RESUS",1,3.34361111111111,NA
2020-07-31,"Waiting",3,0.166574074074074,0.172885223230682
2020-08-01,"Arrived",204,0.12886165577342,0.0456314033737186
2020-08-01,"MAJORS",104,2.54893696581197,1.83977640885281
2020-08-01,"RAT",149,0.59360365398956,0.504291846514032
2020-08-01,"RESUS",11,1.90813131313131,1.28594200406654
2020-08-01,"TAF",4,3.77013888888889,4.69227425456368
2020-08-01,"TRIAGE",113,1.01839970501475,0.91700795735502
2020-08-01,"UTC",32,1.13563368055556,1.24958609283111
2020-08-01,"Waiting",95,0.185172514619883,0.313249529756933
2020-08-02,"Arrived",183,0.145291438979964,0.0386211158616013
2020-08-02,"MAJORS",105,2.07893915343915,1.87616030764211
2020-08-02,"RAT",100,0.610125,0.599518596072487
2020-08-02,"RESUS",9,2.8237962962963,2.03725376267134
2020-08-02,"TAF",1,1.33166666666667,NA
2020-08-02,"TRIAGE",95,0.874415204678363,0.666021231928215
2020-08-02,"UTC",30,1.04433333333333,1.09967801365512
2020-08-02,"Waiting",120,0.175717592592593,0.177697670966745
2020-08-03,"Arrived",216,0.143261316872428,0.0340444257723713
2020-08-03,"MAJORS",111,2.12721471471471,1.52774793150803
2020-08-03,"RAT",116,0.48893438697318,0.459226557439123
2020-08-03,"RESUS",16,2.00423611111111,1.04248676605864
2020-08-03,"TAF",1,1.55777777777778,NA
2020-08-03,"TRIAGE",122,0.434289617486339,0.383587098848881
2020-08-03,"UTC",64,0.577065972222222,0.610813455397979
2020-08-03,"Waiting",123,0.14516711833785,0.155627694126432
2020-08-04,"Arrived",238,0.137958683473389,0.0425302063591924
2020-08-04,"MAJORS",118,2.09726459510358,1.73023936457205
2020-08-04,"RAT",146,0.470953196347032,0.388867618339389
2020-08-04,"RESUS",11,1.60714646464646,1.03309913781951
2020-08-04,"TAF",6,1.25819444444444,0.867580621187022
2020-08-04,"TRIAGE",120,1.1745787037037,0.919337519617139
2020-08-04,"UTC",39,0.952207977207977,0.620942704459831
2020-08-04,"Waiting",142,0.301361502347418,0.442935507733706
2020-08-05,"Arrived",224,0.144079861111111,0.0377786667743593
2020-08-05,"MAJORS",106,2.34996593291405,1.61327382559971
2020-08-05,"RAT",110,0.522558080808081,0.426936148478282
2020-08-05,"RESUS",14,1.59285714285714,1.41849683369254
2020-08-05,"TAF",3,3.27842592592593,3.71537560964997
2020-08-05,"TRIAGE",142,0.979221439749609,0.765915309350427
2020-08-05,"UTC",33,1.11107744107744,0.797060967641748
2020-08-05,"Waiting",140,0.202535714285714,0.261894457058305
2020-08-06,"Arrived",57,0.131486354775828,0.0410715265248645
2020-08-06,"MAJORS",29,1.96110153256705,1.08378996654965
2020-08-06,"RAT",47,0.6674231678487,0.717448043547154
2020-08-06,"RESUS",6,1.58013888888889,1.43206354984773
2020-08-06,"TRIAGE",37,0.534662162162162,0.516118968859767
2020-08-06,"UTC",9,0.438364197530864,0.350551083030889
2020-08-06,"Waiting",27,0.111440329218107,0.085302379488067
2020-07-31,"Admitted",30,2.03333333333333,3.24999693650181
2020-07-31,"Discharged",7,0.626230158730159,0.76070218903311
2020-08-01,"Admitted",467,5.32314239828694,12.7165108453663
2020-08-01,"Discharged",567,0.763272094846169,1.1869182552205
2020-08-02,"Admitted",398,6.52889726409827,14.1340157055162
2020-08-02,"Discharged",529,0.645320310859063,1.02413857428801
2020-08-03,"Admitted",532,5.7394585421888,11.461855809925
2020-08-03,"Discharged",611,0.517389979996363,0.71924490310351
2020-08-04,"Admitted",558,3.08755475906014,6.82382608523061
2020-08-04,"Discharged",641,0.692230889235569,1.02333525967592
2020-08-05,"Admitted",544,1.79952205882353,3.27366691479917
2020-08-05,"Discharged",598,0.646643441099963,0.883137610471861
2020-08-06,"Admitted",85,0.959516339869281,1.45568520348894
2020-08-06,"Discharged",186,0.578033154121864,0.791288220958665
