"room7","num_pat_mean","num_pat_sd","duration_mean","duration_sd","num_pat_mean_breach","num_pat_sd_beach","duration_mean_breach","duration_sd_breach","num_pat_mean_seen4hrs","num_pat_sd_seen4hrs","duration_mean_seen4hrs","duration_sd_seen4hrs"
"Arrived",208,17.9332094171679,6.21701861140915,0.693028839926945,26.8333333333333,6.91134333300457,5.46770475947174,1.18898862172197,181.166666666667,19.3847018720089,6.35137190593062,0.783209583713073
"DIAGNOSTICS",4.66666666666667,6.35085296108588,0.807353395061728,0.582778666121919,NA,NA,NA,NA,4.66666666666667,6.35085296108588,0.807353395061728,0.582778666121919
"MAJORS",106.166666666667,5.81090928054007,2.29599882889038,0.19592757177811,28.3333333333333,7.00476028616731,3.62585459127111,0.450365988590845,77.8333333333333,10.2453241367302,1.83267336491242,0.116857481701145
"Meas post arrival",148.833333333333,20.6438045589147,0.157259627158388,0.0485931384692666,16.8333333333333,2.63944438597722,0.12038282627866,0.0158063407316918,132,20.1791972090071,0.162252998218268,0.0547424674323022
"Meas pre arrival",1.6,1.34164078649987,0.440833333333333,0.214176394072217,1,0,0.308333333333333,0.341768277573498,1.5,1,0.470833333333333,0.348375861306062
"OTF",1.8,0.836660026534076,0.193398148148148,0.285910508903588,1.4,0.894427190999916,0.101703703703704,0.0994693051206235,1,0,0.617361111111111,0.732837611279725
"RAT",125.5,19.7357543559906,0.528137510644317,0.0603691283040017,22.8333333333333,7.98540335028023,0.52539933245183,0.0987130857577933,102.666666666667,16.776968339562,0.526503830696861,0.0601514352451727
"RESUS",12.5,2.88097205817759,2.06700137285554,0.451970616766768,4.33333333333333,1.75119007154183,2.71118044532628,1.02931690347141,8.16666666666667,2.56255081250434,1.65804447250281,0.325660312220055
"TAF",3,1.89736659610103,2.0712037037037,1.14203175690484,1.4,0.547722557505166,3.93997222222222,3.08403740147114,2.2,1.09544511501033,0.986694444444444,0.503476948253681
"TRIAGE",104.833333333333,13.9343699773857,0.851364881167369,0.297138525512395,5.16666666666667,3.18852107828483,0.504232182940516,0.237814525890951,99.6666666666667,13.603921003397,0.868989121989451,0.305911935901225
"TRIAGE Return",10.6,8.76356092008266,0.674879655067155,0.253439032697182,2,NA,0.326527777777778,NA,10.2,8.95544527089525,0.695527803215303,0.253710457613352
"UTC",38.6666666666667,12.769755936065,0.96586461424038,0.203714315955507,3.33333333333333,2.33809038890002,2.10387152777778,0.988071333247004,35.3333333333333,13.7792113949481,0.829975243313804,0.134209800929629
