"room7","num_pat_mean","num_pat_sd","duration_mean","duration_sd","num_pat_mean_breach","num_pat_sd_beach","duration_mean_breach","duration_sd_breach","num_pat_mean_seen4hrs","num_pat_sd_seen4hrs","duration_mean_seen4hrs","duration_sd_seen4hrs"
"Arrived",351.05,53.6104672931493,8.46507208610813,3.02968102624322,83.5,28.8011887701926,8.16242904386413,3.36352643903432,267.55,40.8035496129558,8.50659081218635,3.09803315078907
"DIAGNOSTICS",3.24,8.95488693395958,0.710523389694042,0.929275973727425,4.33333333333333,9.26012958872607,0.693429650915283,1.10634437605703,2,3.4928498393146,0.676718279904554,0.769999649737771
"MAJORS",139.327868852459,29.3204827788103,2.60283934394748,0.458813686063722,75.1475409836066,23.7443579723505,3.50420672847901,0.624712978245343,64.1803278688525,18.1342293253406,1.54565975609168,0.19623913231361
"Meas post arrival",208.393442622951,45.6184460821587,0.241150382577369,0.128531808705785,47.65,20.4987184386517,0.22190737932569,0.115145678447906,161.524590163934,35.7792335288582,0.242444071001046,0.145073502393296
"Meas pre arrival",2.06122448979592,1.10695082820079,0.98952947845805,2.00137208930615,1.4375,0.618922059817739,1.65124131944444,3.62227912209332,1.30952380952381,0.517408893269061,0.913161375661376,3.04782991420277
"OTF",2.13333333333333,1.37510330190466,0.442556893004115,0.6635543381617,1.8,1.06698713134767,0.438245833333333,0.686823804134039,1.26315789473684,0.561951486949016,0.292490253411306,0.389329278795378
"RAT",212.770491803279,49.4895253033821,0.528165303988546,0.122569143776831,91.2166666666667,26.8461351362056,0.615052081932645,0.136050468447344,123.049180327869,32.8863833166597,0.467072930372276,0.0942989714690668
"RESUS",24.8666666666667,5.26731741670858,2.4184464757721,0.515733078631633,13.8166666666667,4.81696038437444,3.09072777598803,0.633108179069736,11.2372881355932,4.48114433911253,1.53653146333745,0.323788895482254
"TAF",6.86440677966102,3.04821953186381,5.22555401059497,2.52152773108299,5.37931034482759,2.95479144754543,6.56497871590149,3.22496014435926,2.325,1.38466880238839,1.32771030092593,0.682479054631039
"TRIAGE",215.27868852459,57.1230050410343,1.58608739372318,0.418046400619368,37.2950819672131,23.0045968321515,2.12622665546267,0.748052954371666,177.983606557377,43.8001110361145,1.46503832525795,0.376440603050769
"TRIAGE Return",6.62962962962963,4.62273420805813,1.16038329140567,0.662132039311772,2.37837837837838,1.5339011874475,1.71746721721722,1.21104258229394,5.09433962264151,3.91871324516389,1.01336684176818,0.51317473289811
"UTC",90.9344262295082,82.7491931184144,1.26771597017536,0.341424255498105,20.8524590163934,18.7286198686874,2.13009744871651,0.636130816859278,70.0819672131148,67.554988733122,0.996083794590035,0.282916411279114
"Waiting",1.66666666666667,0.577350269189626,0.0112037037037037,0.0133371908000228,1,NA,0.0263888888888889,NA,2,0,0.00361111111111111,0.00314269680527354
"WAITING ROOM",2.16,3.67060394667326,0.178335536062378,0.189127068250458,1.18181818181818,0.603022689155527,0.181893939393939,0.212101326027929,2.41176470588235,3.67523508651848,0.165008578431373,0.170824226599251
